#JCAT	Piece	Name	LDate	GDate	ODate	Period	Perigee	PF	Apogee	AF	Inc	IF	OType	Longitude	DriftRate	TDate	TF	Flags
# Updated 2026 Jul 17 2058:25
S13782	1983-006A	Sakura 2A	1983 Feb  4	1983 Feb  6?    	2026 Jul 16 1232	    1448.647 	   35989.2 	 	   36074.6 	 	 10.24 	 	GEO/ID	115.13W	 +   3.135W	1990 Dec  4	P	-
S14086	1983-016F	Blok DM No. 34L	1983 Mar 12	1983 Mar 12 2020	2026 Jul 16 2204	    1424.306 	   35488.6 	 	   35622.4 	 	  6.53 	 	GEO/ID	 41.16E	 +   2.981E	1983 Mar 12 1400:00	R	-
S13878	1983-016A	Ekran	1983 Mar 12	1983 Mar 12 2040	2026 Jul 17 0422	    1515.295 	   37185.9 	 	   37459.9 	 	 10.34 	 	VHEO	 39.96W	 +  18.874W	1984 Oct	P	-
S13983	1983-028F	Blok DM No. 38L	1983 Apr  8	1983 Apr  8 1110	2026 Jul 17 0430	    1439.229 	   35745.4 	 	   35950.4 	 	  8.16 	 	GEO/ID	 47.67W	 +   0.793W	1983 Apr  8 0445:00	R	-
S13974	1983-028A	Raduga	1983 Apr  8	1983 Apr  8 1130	2026 Jul 16 2350	    1436.163 	   35783.9 	 	   35791.9 	 	  8.14 	 	GEO/I	 65.00E	 +   0.024W	1985 Jun?	P	-
S13984	1983-030A	Satcom 1R	1983 Apr 11	1983 Apr 14 1830	2026 Jul 16 1058	    1442.218 	   35873.7 	 	   35939.0 	 	 13.18 	 	GEO/ID	 95.94W	 +   1.539W	1992 Dec 27	P	-
A03610	1983-030	Solar array restraint cable	1983 Apr 11	1983 Apr 15?    	1983 Apr 15	    1477.491 	   36029.0 	 	   37157.0 	 	  0.46 	 	GEO/D	-	-	1983 Apr 11 2239	C	-
S14050	1983-041A	GOES 6	1983 Apr 28	1983 May  9     	2026 Jul 16 1243	    1436.477 	   35786.4 	 	   35801.7 	 	 10.15 	 	GEO/I	130.92W	 +   0.103W	1992 May	P	-
A03624	1983-041	GOES 6 VAS Cover	1983 Apr 28	1983 May 13?    	1984 Dec 15 2313	    1434.646 	   31769.4 	 	   39747.0 	 	  0.44 	 	GEO/NS	 72.24W	 +   0.358E	1983 Apr 28 2226	C	-
S14077	1983-047A	INTELSAT 506	1983 May 19	1983 May 22 1000	2026 Jul 17 0702	    1452.173 	   35943.4 	 	   36258.0 	 	 12.43 	 	GEO/ID	129.00E	 +   4.003W	1998 Jul  6	P	-
S13969	1983-026B	TDRS 1	1983 Apr  4	1983 Jun 13     	2026 Jul 17 0237	    1458.291 	   36133.8 	 	   36306.0 	 	  8.63 	 	GEO/ID	  6.41W	 +   5.501W	2009 Oct 12	P	-
S14128	1983-058A	ECS 1	1983 Jun 16	1983 Jun 18 0052	2026 Jul 16 1326	    1456.443 	   36142.3 	 	   36225.5 	 	 11.80 	 	GEO/ID	166.36W	 +   5.050W	1996 Dec 11	P	-
S14134	1983-059C	Palapa Pacific	1983 Jun 18	1983 Jun 20     	2026 Jul 17 0237	    1437.053 	   35794.9 	 	   35815.7 	 	 11.55 	 	GEO/ID	  2.16W	 +   0.247W	1995 Oct?	P	-
S14133	1983-059B	Anik C2	1983 Jun 18	1983 Jun 21 1915	2026 Jul 16 0423	    1452.698 	   35952.8 	 	   36269.1 	 	 12.88 	 	GEO/ID	 23.76W	 +   4.132W	1998 Jan  7	P	-
S15141	1983-066F	Blok DM No. 39L	1983 Jun 30	1983 Jul  1 0620	2026 Jul 17 0432	    1475.123 	   36506.5 	 	   36587.6 	 	  9.68 	 	GEO/ID	 36.44W	 +   9.557W	1983 Jun 30 2356:00	R	-
S14160	1983-066A	Gorizont	1983 Jun 30	1983 Jul  1 0640	2026 Jul 17 0346	    1464.153 	   36279.7 	 	   36388.3 	 	  9.27 	 	GEO/ID	162.89E	 +   6.924W	1989 Jun 30	P	-
S14158	1983-065A	Galaxy 1	1983 Jun 28	1983 Jul  2     	2026 Jul 16 2305	    1438.483 	   35827.0 	 	   35839.6 	 	 13.58 	 	GEO/ID	104.92W	 +   0.606W	1994 Mar 10	P	-
S14234	1983-077A	Arabsat 1D-R	1983 Jul 28	1983 Jul 29     	2026 Jul 16 1052	    1446.933 	   35889.5 	 	   36107.4 	 	 13.76 	 	GEO/ID	115.57W	 +   2.711W	1996 Sep 29	P	-
S14248	1983-081A	Sakura 2B	1983 Aug  5	1983 Aug  7     	2026 Jul 17 0605	    1457.319 	   36189.9 	 	   36212.0 	 	 11.05 	 	GEO/ID	 71.17W	 +   5.264W	1990 Jan 24	P	-
S14333	1983-088F	Blok DM No. 40L	1983 Aug 25	1983 Aug 26 0220	2026 Jul 17 0118	    1475.162 	   36484.9 	 	   36610.8 	 	  9.77 	 	GEO/ID	  0.91E	 +   9.567W	1983 Aug 25 2002:00	R	-
S14307	1983-088A	Raduga	1983 Aug 25	1983 Aug 26 0240	2026 Jul 17 0600	    1466.797 	   36307.6 	 	   36463.2 	 	  9.47 	 	GEO/ID	 87.13W	 +   7.562W	1987 Oct 13	P	-
S14318	1983-089B	Insat 1B	1983 Aug 30	1983 Sep  2?    	2026 Jul 16 2349	    1437.456 	   35767.8 	 	   35858.5 	 	 11.13 	 	GEO/ID	 50.99E	 +   0.349W	1993 Aug?	P	-
S14328	1983-094A	Satcom 2R	1983 Sep  8	1983 Sep 12 1635	2026 Jul 16 2217	    1448.604 	   35967.5 	 	   36094.6 	 	 14.30 	 	GEO/ID	 87.24E	 +   3.124W	1995 Mar  5	P	-
A03715	1983-094	Solar array restraint cable	1983 Sep  8	1983 Sep 13?    	1983 Sep 13	    1415.120 	   35157.0 	 	   35593.0 	 	  0.10 	 	GEO/D	-	-	1983 Sep  8 2252	C	-
S14365	1983-098A	Galaxy 2	1983 Sep 22	1983 Sep 23 1450	2026 Jul 17 0351	    1436.825 	   35781.8 	 	   35819.9 	 	 13.59 	 	GEO/ID	179.75W	 +   0.190W	1994 May 21	P	-
S14394	1983-100F	Blok DM No. 50L	1983 Sep 29	1983 Sep 30 0000	2026 Jul 16 2343	    1425.016 	   35488.8 	 	   35650.0 	 	  7.18 	 	GEO/ID	 29.78E	 +   2.800E	1983 Sep 29 1737:00	R	-
S14377	1983-100A	Ekran	1983 Sep 29	1983 Sep 30 0020	2026 Jul 16 1756	    1436.336 	   35780.4 	 	   35802.2 	 	  7.71 	 	GEO/I	100.75E	 +   0.067W	1984 Nov?	P	-
S14421	1983-105A	INTELSAT 507	1983 Oct 19	1983 Oct 21 1040	2026 Jul 17 0437	    1444.325 	   35928.9 	 	   35966.1 	 	 11.93 	 	GEO/ID	 20.54W	 +   2.064W	1996 Jul 23	P	-
S14548	1983-118F	Blok DM No. 41L	1983 Nov 30	1983 Nov 30 2010	2026 Jul 16 2027	    1436.412 	   35594.7 	 	   35990.8 	 	  8.48 	 	GEO/I	 61.36E	 +   0.086W	1983 Nov 30 1351:00	R	-
S14532	1983-118A	Gorizont	1983 Nov 30	1983 Nov 30 2030	2026 Jul 17 0120	    1465.329 	   36245.4 	 	   36468.3 	 	  9.54 	 	GEO/ID	  8.16E	 +   7.209W	1988 Nov 28	P	-
S14659	1984-005A	Yuri 2A	1984 Jan 23	1984 Jan 26 0514	2026 Jul 16 2036	    1453.832 	   36066.4 	 	   36199.7 	 	 11.01 	 	GEO/ID	 94.69E	 +   4.411W	1989 Jul	P	-
S14677	1984-009C	Transtage D-10	1984 Jan 31	1984 Jan 31 1030	2026 Jul 16 1930	    1447.942 	   31608.0 	 	   40428.3 	 	  6.09 	 	GEO/NS	134.00E	 +   2.960W	1984 Jan 31 0308:01	R	-
S14675	1984-009A	OPS 0441	1984 Jan 31	1984 Jan 31 1030	2026 Jul 17 0528	    1434.753 	   32040.6 	 	   39479.9 	 	  6.10 	 	GEO/NS	125.77W	 +   0.331E	1990?	P	-
S17874	1984-016F	Blok DM No. 42L	1984 Feb 15	1984 Feb 15 1510	2026 Jul 16 2302	    1435.298 	   35623.1 	 	   35918.8 	 	  8.52 	 	GEO/ID	 72.57E	 +   0.194E	1984 Feb 15 0846:00	R	-
S14725	1984-016A	Raduga	1984 Feb 15	1984 Feb 15 1530	2026 Jul 16 2158	    1435.814 	   35771.8 	 	   35790.3 	 	  8.51 	 	GEO/I	 82.74E	 +   0.064E	1987 Sep?	P	-
S14948	1984-022F	Blok DM No. 43L	1984 Mar  2	1984 Mar  2 1020	2026 Jul 17 0431	    1441.803 	   35802.6 	 	   35993.8 	 	  9.40 	 	GEO/ID	 41.38W	 +   1.436W	1984 Mar  2 0354:00	R	-
S14783	1984-022A	Kosmos-1540	1984 Mar  2	1984 Mar  2 1040	2026 Jul 16 2032	    1435.934 	   35752.4 	 	   35814.5 	 	  9.26 	 	GEO/I	 77.64E	 +   0.034E	1988 Feb	P	-
S14786	1984-023A	INTELSAT 508	1984 Mar  5	1984 Mar  7 1110	2026 Jul 17 0036	    1480.074 	   36568.6 	 	   36717.5 	 	 13.60 	 	GEO/ID	146.54W	 +  10.733W	1994 Dec 17	P	-
S15139	1984-028F	Blok DM No. 44L	1984 Mar 16	1984 Mar 16 2020	2026 Jul 17 0255	    1419.761 	   35388.1 	 	   35544.3 	 	  6.92 	 	GEO/ID	 17.43W	 +   4.146E	1984 Mar 16 1400:00	R	-
S14821	1984-028A	Ekran	1984 Mar 16	1984 Mar 16 2040	2026 Jul 16 2345	    1499.028 	   36981.2 	 	   37037.9 	 	 10.24 	 	GEO/ID	 37.81E	 +  15.162W	1986 Jul?	P	-
S14951	1984-031F	Blok DM No. 45L	1984 Mar 29	1984 Mar 29 1215	2026 Jul 16 2155	    1448.311 	   35965.5 	 	   36085.2 	 	  9.02 	 	GEO/ID	118.65E	 +   3.052W	1984 Mar 29 0552:56	R	-
S14867	1984-031A	Kosmos-1546	1984 Mar 29	1984 Mar 29 1230	2026 Jul 16 2029	    1436.222 	   35687.6 	 	   35890.5 	 	  8.62 	 	GEO/I	 70.01E	 +   0.039W	1986 Oct	P	-
S14899	1984-035A	Shiyan Tongbu Tongxin Wx.	1984 Apr  8	1984 Apr 10 0030	2026 Jul 16 1900	    1437.071 	   35775.2 	 	   35836.2 	 	  9.41 	 	GEO/ID	118.14E	 +   0.252W	1988 Jun 28	P	-
S14930	1984-037A	DSP F11	1984 Apr 14	1984 Apr 14 2330	2026 Jul 17 0035	    1459.258 	   36201.1 	 	   36276.4 	 	 10.14 	 	GEO/ID	148.45W	 +   5.737W	1991?	P	-
S14931	1984-037B	Transtage D-11	1984 Apr 14	1984 Apr 14 2300	2026 Jul 16 1407	    1423.529 	   35408.0 	 	   35672.5 	 	  8.73 	 	GEO/ID	164.54E	 +   3.180E	1984 Apr 14 1652:02	R	-
A03829	1984-037	DSP 12 Aperture Cover	1984 Apr 14	1984 Apr 15?    	2016 Jan  1 0000	    1418.531 	   35102.4 	 	   35781.7 	 	 14.47 	 	GEO/ID	176.86W	 +   4.463E	1984 Apr 14 1652:02	C	-
S14943	1984-041D	Blok DM No. 46L	1984 Apr 22	1984 Apr 22 1040	2026 Jul 17 0333	    1460.006 	   36191.2 	 	   36315.4 	 	  9.54 	 	GEO/ID	152.32E	 +   5.919W	1984 Apr 22 0421:00	R	-
S14940	1984-041A	Gorizont	1984 Apr 22	1984 Apr 22 1100	2026 Jul 16 1854	    1436.036 	   35762.9 	 	   35808.0 	 	  8.69 	 	GEO/I	 96.83E	 +   0.008E	1987 Apr  6	P	-
S14985	1984-049A	Zhongxing 5	1984 May 23	1984 May 26 1915	2026 Jul 17 0529	    1439.933 	   35817.9 	 	   35905.4 	 	 14.34 	 	GEO/ID	162.34E	 +   0.969W	1999 Dec	P	-
A03840	1984-049	Solar array restraint cable	1984 May 23	1984 May 27?    	1984 May 27	    1442.585 	   35564.0 	 	   36263.0 	 	  0.07 	 	GEO/D	-	-	1984 May 23 0133:29	C	-
S15693	1984-063F	Blok DM No. 47L	1984 Jun 22	1984 Jun 22 0640	2026 Jul 17 0120	    1394.142 	   34890.2 	 	   35032.4 	 	  7.01 	 	GEO/ID	  9.66E	 +  10.856E	1984 Jun 22 0020:00	R	-
S15057	1984-063A	Raduga	1984 Jun 22	1984 Jun 22 0700	2026 Jul 16 2142	    1437.494 	   35799.9 	 	   35828.0 	 	  8.68 	 	GEO/ID	 54.93E	 +   0.358W	1988 Sep?	P	-
S15181	1984-078F	Blok DM No. 48L	1984 Aug  1	1984 Aug  2 0400	2026 Jul 17 0658	    1435.942 	   35691.4 	 	   35875.7 	 	  8.92 	 	GEO/I	115.89E	 +   0.032E	1984 Aug  1 2137:00	R	-
S15144	1984-078A	Gorizont	1984 Aug  1	1984 Aug  2 0420	2026 Jul 16 1311	    1436.372 	   35779.6 	 	   35804.4 	 	  8.83 	 	GEO/I	168.83W	 +   0.076W	1990 Aug 22	P	-
S15152	1984-080A	Himawari 3	1984 Aug  2	1984 Aug  4     	2026 Jul 17 0347	    1442.272 	   35881.5 	 	   35933.2 	 	 10.58 	 	GEO/ID	164.13E	 +   1.553W	1995 Jun 22	P	-
S22266	1984-080E	Star 27 S/N 0062	1984 Aug  2	1984 Aug  4     	2026 Jul 17 0523	    1443.520 	   35347.1 	 	   36516.5 	 	  9.46 	 	GEO/ID	141.78E	 +   1.863W	1984 Aug  2 2030	C	-
S15159	1984-081B	Telecom 1A	1984 Aug  4	1984 Aug  6 0256	2026 Jul 17 0132	    1463.462 	   36173.6 	 	   36467.5 	 	 12.73 	 	GEO/ID	167.54W	 +   6.757W	1992 Sep  9	P	-
S15158	1984-081A	ECS 2	1984 Aug  4	1984 Aug  6 0259	2026 Jul 17 0607	    1457.535 	   36162.3 	 	   36248.1 	 	 12.46 	 	GEO/ID	 62.45W	 +   5.317W	1993 Nov  9	P	-
A03874	1984-080	GMS 3 VISSR Cover	1984 Aug  2	1984 Aug 15?    	1984 Aug 15	    1436.143 	   35782.0 	 	   35793.0 	 	  1.80 	 	GEO/S	-	-	1984 Aug  2 2030	C	-
S17875	1984-090F	Blok DM No. 51L	1984 Aug 24	1984 Aug 25 0210	2026 Jul 17 0118	    1422.084 	   35445.2 	 	   35578.6 	 	  7.69 	 	GEO/ID	  1.98E	 +   3.550E	1984 Aug 24 1950:00	R	-
S15219	1984-090A	Ekran	1984 Aug 24	1984 Aug 25 0230	2026 Jul 16 1403	    1499.611 	   36948.4 	 	   37093.2 	 	 10.80 	 	GEO/ID	152.18W	 +  15.296W	1987 Apr?	P	-
S15235	1984-093B	HGS-5	1984 Aug 30	1984 Sep  1 2045	2026 Jul 17 0438	    1458.003 	   36178.2 	 	   36250.4 	 	 13.54 	 	GEO/ID	 17.73W	 +   5.431W	2005 Sep 30	P	-
S15237	1984-093D	Telstar 302	1984 Aug 30	1984 Sep  3 1645	2026 Jul 16 1949	    1443.226 	   35912.4 	 	   35939.6 	 	 14.11 	 	GEO/ID	 72.26W	 +   1.790W	1997 Sep  5	P	-
S15236	1984-093C	Leasat 2	1984 Aug 30	1984 Sep  4 2030	2026 Jul 17 0121	    1477.585 	   36464.0 	 	   36725.7 	 	 10.74 	 	GEO/ID	 13.81E	 +  10.143W	1996 Oct 10	P	-
S15308	1984-101A	Galaxy 3	1984 Sep 21	1984 Sep 22 1511	2026 Jul 17 0237	    1442.221 	   35885.6 	 	   35927.2 	 	 14.08 	 	GEO/ID	  4.30W	 +   1.540W	1995 Oct  3	P	-
S15386	1984-114B	Marecs 2	1984 Nov 10	1984 Nov 11 0324	2026 Jul 17 0211	    1501.096 	   36562.8 	 	   37536.1 	 	 13.45 	 	VHEO	171.64W	 +  15.638W	2002 Jan	P	-
S15383	1984-113B	Arabsat 1D	1984 Nov  8	1984 Nov 12 0923	2026 Jul 17 0523	    1455.881 	   36066.4 	 	   36279.5 	 	 13.56 	 	GEO/ID	140.52E	 +   4.913W	1995 Feb	P	-
S15384	1984-113C	Leasat 1	1984 Nov  8	1984 Nov 13 1510	2026 Jul 17 0215	    1461.263 	   36147.1 	 	   36408.4 	 	 11.37 	 	GEO/ID	157.51W	 +   6.224W	1992 Sep 26	P	-
S15385	1984-114A	Zhongxing 5R	1984 Nov 10	1984 Nov 13 1900	2026 Jul 16 1447	    1443.365 	   35896.1 	 	   35961.4 	 	 14.66 	 	GEO/ID	152.64E	 +   1.825W	1998 Jun	P	-
A03965	1984-114	Solar array restraint cable	1984 Nov 10	1984 Nov 14?    	1984 Nov 14	    1441.664 	   35521.0 	 	   36270.0 	 	  0.10 	 	GEO/D	-	-	1984 Nov 10 0114:18	C	-
S15391	1984-115A	NATO 3D	1984 Nov 14	1984 Nov 16 0125	2026 Jul 16 2306	    1516.515 	   36908.5 	 	   37784.2 	 	 14.28 	 	VHEO	 98.86W	 +  19.149W	2003 Apr?	P	-
S15454	1984-129B	Transtage D-13	1984 Dec 22	1984 Dec 22 0630	2026 Jul 16 1754	    1423.532 	   35514.7 	 	   35565.8 	 	 10.25 	 	GEO/ID	112.57E	 +   3.179E	1984 Dec 22 0002:03	R	-
S15453	1984-129A	DSP F12	1984 Dec 22	1984 Dec 22 0630	2026 Jul 17 0035	    1456.658 	   36177.8 	 	   36198.4 	 	 11.44 	 	GEO/ID	148.87W	 +   5.103W	1994?	P	-
A03975	1984-129	DSP 6R Aperture Cover	1984 Dec 22	1984 Dec 23?    	1984 Dec 23	    1436.015 	   35780.0 	?	   35790.0 	?	  1.00 	?	GEO/S	-	-	1984 Dec 22 0002:03	C	-
S15487	1985-007D	Blok DM No. 52L	1985 Jan 18	1985 Jan 18 1645	2026 Jul 17 0519	    1397.727 	   34958.5 	 	   35105.8 	 	  7.68 	 	GEO/ID	127.48E	 +   9.902E	1985 Jan 18 1025:00	R	-
S15484	1985-007A	Gorizont	1985 Jan 18	1985 Jan 18 1705	2026 Jul 17 0433	    1436.748 	   35784.8 	 	   35813.9 	 	  9.11 	 	GEO/ID	 34.49W	 +   0.171W	1991 Sep  2	P	-
S15543	1985-010B	USA 8	1985 Jan 24	1985 Jan 25?    	2026 Jul 17 0325	    1442.564 	   35377.5 	 	   36448.6 	 	 12.60 	 	GEO/ID	161.41E	 +   1.625W	2010?	P	-
S15545	1985-010D	IUS-11 SRM-2	1985 Jan 24	1985 Jan 25?    	2026 Jul 16 0730	    1428.263 	   35513.1 	 	   35753.1 	 	 12.70 	 	GEO/ID	 94.74W	 +   1.973E	1985 Jan 24 1950:00	C	-
S15561	1985-015B	Brasilsat 1	1985 Feb  8	1985 Feb  9 1534	2026 Jul 16 2234	    1446.584 	   35977.7 	 	   36005.5 	 	 14.10 	 	GEO/ID	 92.53E	 +   2.624W	2002 Mar  9	P	-
S15560	1985-015A	Arabsat 1A	1985 Feb  8	1985 Feb 11 1115	2026 Jul 16 2350	    1437.726 	   35683.7 	 	   35953.2 	 	 11.80 	 	GEO/ID	 52.56E	 +   0.416W	1992 Jul 31	P	-
S15581	1985-016F	Blok DM No. 49L	1985 Feb 21	1985 Feb 21 1420	2026 Jul 16 2346	    1448.623 	   35923.4 	 	   36139.5 	 	  9.59 	 	GEO/ID	 38.57E	 +   3.129W	1985 Feb 21 0756:48	R	-
S15574	1985-016A	Kosmos-1629	1985 Feb 21	1985 Feb 21 1440	2026 Jul 16 1358	    1435.390 	   35746.0 	 	   35799.5 	 	  9.08 	 	GEO/ID	165.20W	 +   0.171E	1986 Oct?	P	-
S15630	1985-024D	Blok DM No. 53L	1985 Mar 22	1985 Mar 22 1120	2026 Jul 16 2253	    1422.493 	   35460.6 	 	   35579.1 	 	  8.10 	 	GEO/ID	146.04W	 +   3.445E	1985 Mar 22 0500:00	R	-
S15626	1985-024A	Ekran	1985 Mar 22	1985 Mar 22 1140	2026 Jul 16 1855	    1519.027 	   37312.1 	 	   37477.1 	 	 11.90 	 	VHEO	100.51E	 +  19.714W	1987 Nov?	P	-
S15629	1985-025A	INTELSAT 510	1985 Mar 22	1985 Mar 24     	2026 Jul 16 2350	    1465.200 	   36224.8 	 	   36483.9 	 	 13.73 	 	GEO/ID	 53.57E	 +   7.177W	1999 Jul 10	P	-
S15642	1985-028B	Brasil 1(T)	1985 Apr 12	1985 Apr 14     	2026 Jul 16 2216	    1444.952 	   35900.3 	 	   36019.2 	 	 14.76 	 	GEO/ID	 82.65E	 +   2.219W	2003 May  3	P	-
S15678	1985-035B	Telecom 1B	1985 May  8	1985 May  9 1930	2026 Jul 17 0432	    1435.352 	   35768.6 	 	   35775.4 	 	 10.09 	 	GEO/ID	 38.41W	 +   0.180E	1988 Jan 15	P	-
S15677	1985-035A	Gstar 1	1985 May  8	1985 May 11 1900	2026 Jul 16 2305	    1436.087 	   35767.3 	 	   35805.5 	 	 14.31 	 	GEO/I	105.33W	 +   0.005W	1997?	P	-
A04058	1985-035	Solar array restraint cable	1985 May  8	1985 May 12?    	1985 May 12	    1451.266 	   35858.0 	 	   36308.0 	 	  0.70 	 	GEO/D	-	-	1985 May  8 0115:38	C	-
S15824	1985-048B	Morelos 1	1985 Jun 17	1985 Jun 18 2349	2026 Jul 16 2301	    1447.735 	   35999.5 	 	   36028.7 	 	 13.93 	 	GEO/ID	118.11W	 +   2.909W	1994 Mar  4	P	-
S15826	1985-048D	Telstar 303	1985 Jun 17	1985 Jun 20 1505	2026 Jul 17 0237	    1441.664 	   35882.4 	 	   35908.6 	 	 14.18 	 	GEO/ID	  2.23W	 +   1.401W	1999 Feb  4	P	-
S15825	1985-048C	Arabsat 1B	1985 Jun 17	1985 Jun 21 1100	2026 Jul 17 0702	    1434.183 	   35694.4 	 	   35803.9 	 	 12.35 	 	GEO/ID	127.77E	 +   0.474E	1993 Apr  3	P	-
S15873	1985-055A	INTELSAT 511	1985 Jun 30	1985 Jul  1 1400	2026 Jul 16 1859	    1438.713 	   35781.1 	 	   35894.5 	 	 13.17 	 	GEO/ID	113.55E	 +   0.664W	2003 Aug 28	P	-
S15963	1985-070F	Blok DM No. 55L	1985 Aug  8	1985 Aug  9 0320	2026 Jul 16 1855	    1472.344 	   36448.8 	 	   36537.5 	 	 10.74 	 	GEO/ID	100.81E	 +   8.894W	1985 Aug  8 2101:00	R	-
S15946	1985-070A	Raduga	1985 Aug  8	1985 Aug  9 0340	2026 Jul 16 1357	    1435.568 	   35767.7 	 	   35784.8 	 	  9.36 	 	GEO/I	166.37W	 +   0.126E	1988 Oct?	P	-
S15994	1985-076C	ASC 1	1985 Aug 27	1985 Aug 31 1729	2026 Jul 16 1058	    1435.524 	   35761.4 	 	   35789.3 	 	 13.78 	 	GEO/I	 96.68W	 +   0.137E	1994 Aug	P	-
A04135	1985-076	Solar array restraint cable	1985 Aug 27	1985 Sep  1?    	1985 Sep  1	    1472.028 	   36043.0 	 	   36931.0 	 	  0.93 	 	GEO/D	-	-	1985 Aug 27 1058:01	C	-
S15993	1985-076B	Optus A1	1985 Aug 27	1985 Sep  1 0100	2026 Jul 16 2136	    1443.531 	   35921.0 	 	   35943.0 	 	 13.27 	 	GEO/ID	 83.46E	 +   1.866W	1993 Aug 24	P	-
S15995	1985-076D	Leasat 4	1985 Aug 27	1985 Sep  3 2300	2026 Jul 17 0435	    1472.386 	   36466.8 	 	   36521.1 	 	 10.03 	 	GEO/ID	 26.77W	 +   8.904W	1996 Oct 30	P	-
S16101	1985-087A	INTELSAT 512	1985 Sep 28	1985 Oct  1 1000	2026 Jul 16 2353	    1452.898 	   36074.0 	 	   36155.6 	 	 14.08 	 	GEO/ID	 64.88E	 +   4.181W	1998 Jun 23?	P	-
S16119	1985-092E	IUS-12 SRM-2	1985 Oct  3	1985 Oct  4     	2026 Jul 16 0010	    1424.553 	   35321.0 	 	   35799.7 	 	 10.00 	 	GEO/ID	 18.21E	 +   2.918E	1985 Oct  3 1515:30	C	-
S16116	1985-092B	DSCS III B-4	1985 Oct  3	1985 Oct  4     	2026 Jul 17 0125	    1449.774 	   36043.8 	 	   36064.0 	 	 14.36 	 	GEO/ID	 27.60E	 +   3.413W	 2007?	P	-
S16117	1985-092C	DSCS III B-5	1985 Oct  3	1985 Oct  4     	2026 Jul 17 0302	    1454.666 	   36128.1 	 	   36170.4 	 	 14.28 	 	GEO/ID	  6.05E	 +   4.615W	 2007?	P	-
S16214	1985-102D	Blok DM-2 No. 9L	1985 Oct 25	1985 Oct 25 2200	2026 Jul 17 0237	    1431.167 	   35606.5 	 	   35773.5 	 	  9.40 	 	GEO/ID	  3.74W	 +   1.236E	1985 Oct 25 1545:00	R	-
S16199	1985-102A	Kosmos-1700	1985 Oct 25	1985 Oct 25 2220	2026 Jul 16 2034	    1435.586 	   35755.4 	 	   35797.8 	 	  9.66 	 	GEO/I	 86.89E	 +   0.121E	1986 Aug	P	-
S40924	1985-102G	Al'tair 11 part	1985 Oct 25	?               	2026 Jul 16 2348	    1436.242 	   35679.1 	 	   35899.7 	 	  9.64 	 	GEO/I	 47.78E	 +   0.044W	1985 Oct 25 1545:00	C	-
S15643	1985-028C	Leasat 3	1985 Apr 12	1985 Oct 31 0200	2026 Jul 16 1402	    1485.108 	   36403.1 	 	   37078.0 	 	 11.18 	 	GEO/ID	155.13W	 +  11.920W	1996 Sep 30	P	-
S16339	1985-107F	Blok DM No. 56L	1985 Nov 15	1985 Nov 15 2050	2026 Jul 17 0603	    1477.011 	   36506.7 	 	   36660.7 	 	 11.03 	 	GEO/ID	 78.84W	 +  10.007W	1985 Nov 15 1429:00	R	-
S16250	1985-107A	Raduga	1985 Nov 15	1985 Nov 15 2110	2026 Jul 16 2325	    1438.220 	   35771.4 	 	   35884.8 	 	  9.56 	 	GEO/ID	 63.37E	 +   0.540W	1992 Dec 18	P	-
S16274	1985-109B	Satmex 2	1985 Nov 27	1985 Nov 29 2100	2026 Jul 17 0352	    1446.241 	   35964.9 	 	   36004.9 	 	 14.76 	 	GEO/ID	176.19W	 +   2.539W	2004 Jun 14	P	-
S16275	1985-109C	Optus A2	1985 Nov 27	1985 Dec  1 0115	2026 Jul 16 2349	    1440.913 	   35865.3 	 	   35896.3 	 	 13.34 	 	GEO/ID	 49.85E	 +   1.214W	2001 May  1	P	-
S16276	1985-109D	Satcom K2	1985 Nov 27	1985 Dec  1 1820	2026 Jul 17 0215	    1445.615 	   35933.1 	 	   36012.3 	 	 14.71 	 	GEO/ID	158.62W	 +   2.384W	2002 Feb 28	P	-
S16482	1986-003B	Satcom K1	1986 Jan 12	1986 Jan 15 1800	2026 Jul 17 0041	    1446.449 	   35975.4 	 	   36002.6 	 	 14.67 	 	GEO/ID	125.83W	 +   2.591W	1997 Jul	P	-
S16870	1986-007F	Blok DM No.57L	1986 Jan 17	1986 Jan 17 1640	2026 Jul 16 1359	    1472.372 	   36359.3 	 	   36628.0 	 	 11.01 	 	GEO/ID	175.51E	 +   8.901W	1986 Jan 17 1020:00	R	-
S16497	1986-007A	Raduga	1986 Jan 17	1986 Jan 17 1700	2026 Jul 17 0611	    1457.290 	   35900.9 	 	   36499.9 	 	 10.47 	 	GEO/ID	 50.10W	 +   5.257W	1991 Dec  4	P	-
S16526	1986-010A	Shiyong Tongbu Tongxin Wx.	1986 Feb  1	1986 Feb  3 0200	2026 Jul 16 2152	    1436.993 	   35793.2 	 	   35815.1 	 	 10.56 	 	GEO/ID	 75.40E	 +   0.232W	1990 May?	P	-
S16597	1986-016A	Yuri 2B	1986 Feb 12	1986 Feb 15 0530	2026 Jul 17 0607	    1450.297 	   36004.4 	 	   36123.8 	 	 12.23 	 	GEO/ID	 64.31W	 +   3.542W	1991 Oct 24	P	-
S16650	1986-026B	Brasilsat 2	1986 Mar 28	1986 Mar 29 1550	2026 Jul 16 2219	    1445.256 	   35956.7 	 	   35974.7 	 	 14.52 	 	GEO/ID	 93.66E	 +   2.295W	2004 Feb 26?	P	-
